Description,Date,Credit,Debit
701-0003898-9516248,31/07/2021,8.99,
701-7191270-8706619,31/07/2021,22.48,
702-7838502-8485845,30/07/2021,8.99,
702-6460120-7765015,29/07/2021,8.99,
702-6460120-7765015,29/07/2021,8.99,
701-2512077-0405002,28/07/2021,7.99,
701-0445916-6960210,27/07/2021,8.99,
701-8513506-7153836,26/07/2021,8.99,
702-2050664-6897810,25/07/2021,8.99,
702-2050664-6897810,25/07/2021,9.99,
702-3174654-7326645,25/07/2021,9.99,
701-6345242-7677845,25/07/2021,12.99,
701-0917125-0261851,24/07/2021,25.99,
702-3715351-7021010,23/07/2021,8.99,
702-6625359-7570609,21/07/2021,7.99,
702-6625359-7570609,21/07/2021,7.99,
701-3690669-1681002,21/07/2021,7.99,
702-8245508-6258618,21/07/2021,12.99,
701-3039630-4429830,20/07/2021,35.98,
702-3119842-6205031,19/07/2021,10.48,
702-0535934-3016267,19/07/2021,7.99,
702-0535934-3016267,19/07/2021,7.99,
701-8339185-6589065,19/07/2021,7.99,
702-0332249-3231435,18/07/2021,17.98,
701-9834152-2670664,18/07/2021,8.99,
702-6993020-2194630,17/07/2021,8.99,
702-3501312-7972240,16/07/2021,25.99,
701-2522620-7636235,15/07/2021,7.99,
702-6158602-8182608,14/07/2021,10.48,
702-8117059-2074624,13/07/2021,15.99,
702-7315308-5356202,12/07/2021,7.99,
702-4102490-3518634,12/07/2021,10.48,
702-8467420-3473019,11/07/2021,12.04,
701-7308277-9226602,11/07/2021,9.99,
701-4932723-7222637,10/07/2021,17.99,
702-2600918-9140214,10/07/2021,15.99,
701-0207139-7489832,10/07/2021,10.48,
701-3274326-9578636,09/07/2021,7.99,
702-7382591-9762668,09/07/2021,20.48,
701-5142172-3265059,09/07/2021,7.99,
701-0031719-5990601,09/07/2021,7.99,
702-8155293-8565804,08/07/2021,12.99,
701-8451634-6510622,07/07/2021,7.99,
702-5898282-2769823,06/07/2021,15.99,
701-0839884-6345064,06/07/2021,17.99,
702-6486747-3235402,06/07/2021,8.99,
701-2831189-7935411,06/07/2021,8.99,
701-2831189-7935411,06/07/2021,8.99,
701-2831189-7935411,06/07/2021,8.99,
701-2831189-7935411,06/07/2021,15.99,
702-9557910-4625031,05/07/2021,17.99,
701-6604740-0669835,05/07/2021,9.99,
701-6604740-0669835,05/07/2021,9.99,
701-0696825-8362645,05/07/2021,7.99,
701-0696825-8362645,05/07/2021,5.99,
702-2422296-0074660,05/07/2021,7.99,
702-2422296-0074660,05/07/2021,7.99,
702-6954979-3626666,05/07/2021,8.99,
702-6954979-3626666,05/07/2021,8.99,
702-6464779-7594625,05/07/2021,8.99,
702-8601928-1919447,04/07/2021,7.99,
701-7947432-0010647,02/07/2021,15.99,
701-7947432-0010647,02/07/2021,8.99,
701-9537722-5514608,02/07/2021,8.99,
701-9537722-5514608,02/07/2021,8.99,
701-6347734-4118649,02/07/2021,8.99,
702-5995915-5339414,01/07/2021,8.99,
702-5995915-5339414,01/07/2021,8.99,
702-5995915-5339414,01/07/2021,8.99,
702-7136845-1978654,01/07/2021,12.99,
702-1667536-9412241,01/07/2021,7.99,
702-4846917-4722616,01/07/2021,17.07,
112-4688194-7912252,01/08/2021,7.99,
114-3914108-1161825,01/08/2021,7.99,
113-8539111-9876225,31/07/2021,7.99,
112-8466177-9686608,31/07/2021,19.99,
112-2304628-4453803,31/07/2021,19.99,
114-7392103-7534657,31/07/2021,15.98,
112-1284369-1081021,31/07/2021,7.99,
112-1284369-1081021,31/07/2021,7.99,
114-9305582-0176242,31/07/2021,7.99,
113-5954073-6961006,31/07/2021,15.98,
112-9030959-5693047,31/07/2021,7.99,
113-3085960-3478634,31/07/2021,13.99,
111-7110804-9615428,31/07/2021,7.99,
112-7393214-3613025,30/07/2021,7.99,
114-7051884-5909854,30/07/2021,7.99,
114-7051884-5909854,30/07/2021,7.99,
113-6765567-1583438,30/07/2021,19.99,
114-5113017-7359464,30/07/2021,7.99,
114-6624309-2834604,30/07/2021,7.99,
113-8955530-0351449,30/07/2021,7.99,
113-8955530-0351449,30/07/2021,7.99,
112-2754916-3833066,30/07/2021,7.99,
112-3134962-1017867,30/07/2021,19.99,
113-2311081-6013051,30/07/2021,7.99,
112-2719829-0958646,30/07/2021,7.99,
114-6478466-7061005,30/07/2021,11.99,
112-7726027-2808215,30/07/2021,7.99,
112-7726027-2808215,30/07/2021,7.99,
114-8273979-0349002,30/07/2021,11.99,
111-1076894-3076227,29/07/2021,7.99,
113-3765034-1197867,29/07/2021,19.99,
112-9810585-9013010,29/07/2021,25.98,
111-2881084-8008264,29/07/2021,7.99,
111-0434631-1629865,29/07/2021,7.99,
111-1729180-4639466,29/07/2021,16.28,
111-1933355-2003448,29/07/2021,7.99,
114-0696066-9997859,29/07/2021,23.98,
112-5058970-9891406,29/07/2021,6.99,
113-7780790-8369008,28/07/2021,7.99,
112-5984638-8989829,28/07/2021,19.99,
114-5026376-0441048,28/07/2021,13.99,
111-3739881-2044232,28/07/2021,6.99,
